unique_id,service_request_id,service_category,service_type
cd9b3138-e201-4d9c-9e02-185f3c487376,1,Category 1,Data Transmission and/or Internet Access
16518d9a-2b88-4e4f-9ee4-164c4e5c5381,3,Category 2,Internal Connections
969a8e38-be68-4f66-bd22-0a536e466957,1,Category 1,Data Transmission and/or Internet Access
5816dcc0-917d-4094-b781-c30d22f20342,1,Category 2,Internal Connections
00772a28-6f76-405a-b5d2-4be447230c18,1,Category 2,Internal Connections
64e4feed-5a2c-4d73-b033-33e3a705872c,1,Category 2,Basic Maintenance of Internal Connections
51d598bc-1e28-4948-99d6-8513fb1e805b,1,Category 2,Internal Connections
c598605b-9dd2-42ad-a95d-af7ac8d4b862,4,Category 2,Internal Connections
75138cb1-28d5-4b76-abeb-872a8b9a7acf,1,Category 2,Managed Internal Broadband Services
38ecad9a-6fb7-4b62-94b8-f55de7a8d583,1,Category 2,Internal Connections
c94aa641-3ed3-40a9-89ec-2f4e6364d8f2,1,Category 2,Basic Maintenance of Internal Connections
805bda6e-cdca-43f3-8ea2-3b385c15141c,1,Category 1,Data Transmission and/or Internet Access
3285210d-5096-41fa-8d13-844e8c435cf2,1,Category 1,Data Transmission and/or Internet Access
ac2ecc63-eb4d-4467-9697-0231613d7464,1,Category 1,Data Transmission and/or Internet Access
0b0041e3-d3b3-4d3b-a0f6-b9fe69a7efb8,1,Category 1,Data Transmission and/or Internet Access
44ebee7c-d84a-4d92-9d8d-ef0e2ac1850e,1,Category 2,Internal Connections
e231d282-79c6-46b0-b5e9-743c0db4e537,1,Category 1,Data Transmission and/or Internet Access
47955de1-66dc-4114-9ed0-a27fda3036f0,1,Category 1,Data Transmission and/or Internet Access
76f8b346-16d1-4cf1-a16f-c883b2cd1dcd,1,Category 1,Data Transmission and/or Internet Access
c2a4343e-f6ba-4b58-b843-662072b52ef5,1,Category 1,Data Transmission and/or Internet Access
